trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
1,2025-09-10T00:54:20,183,0.666997,0.730318,0.38775956284153,0.15074822967275386,0.20667047500614374,0.38775956284153007,0.13306330633063307,0.19813480761713298,sweeps/runs/run_trial1_k183_k10.667_b0.7303.txt
2,2025-09-10T00:54:48,82,0.834816,0.726001,0.4768292682926829,0.08481442050866608,0.13945972578948473,0.4768292682926829,0.07331983198319832,0.12709660642309192,sweeps/runs/run_trial2_k82_k10.8348_b0.726.txt
3,2025-09-10T00:55:09,193,1.611002,0.563562,0.39575129533678755,0.16040867405344422,0.21726036066080856,0.39575129533678755,0.14322682268226822,0.2103321033210332,sweeps/runs/run_trial3_k193_k11.611_b0.5636.txt
4,2025-09-10T00:55:51,171,1.132883,0.125328,0.4095906432748538,0.14732653894674008,0.20669889312137205,0.4095906432748538,0.13133813381338133,0.19889816550235698,sweeps/runs/run_trial4_k171_k11.1329_b0.1253.txt
5,2025-09-10T00:56:12,75,0.848991,0.611716,0.4946666666666667,0.08063414490767698,0.13445263808892305,0.49466666666666664,0.06956945694569457,0.12198329716577892,sweeps/runs/run_trial5_k75_k10.849_b0.6117.txt
6,2025-09-10T00:56:32,163,0.798256,0.652402,0.4083435582822086,0.1417745436778569,0.2007756169566988,0.4083435582822086,0.12481248124812482,0.19118745332337567,sweeps/runs/run_trial6_k163_k10.7983_b0.6524.txt
7,2025-09-10T00:56:53,159,1.12928,0.481828,0.41949685534591197,0.14151950893783222,0.2020694768869748,0.41949685534591197,0.12507500750075007,0.192696596752759,sweeps/runs/run_trial7_k159_k11.1293_b0.4818.txt
8,2025-09-10T00:57:14,91,1.714146,0.105524,0.4731868131868132,0.09219681114149697,0.14905675879000574,0.47318681318681316,0.08074557455745575,0.13795091945921703,sweeps/runs/run_trial8_k91_k11.7141_b0.1055.txt
9,2025-09-10T00:57:34,60,1.547209,0.389213,0.5166666666666666,0.06761261975800706,0.11630851626048251,0.5166666666666667,0.05813081308130813,0.10450377562028046,sweeps/runs/run_trial9_k60_k11.5472_b0.3892.txt
10,2025-09-10T00:57:53,59,0.822971,0.74897,0.5023728813559322,0.06535164054297715,0.1125524936111316,0.5023728813559322,0.05558055805580558,0.10008779631255488,sweeps/runs/run_trial10_k59_k10.823_b0.749.txt
11,2025-09-10T00:58:14,46,0.639119,0.182209,0.5465217391304348,0.05539115216882294,0.09825530748682151,0.5465217391304348,0.04714221422142214,0.08679740367352574,sweeps/runs/run_trial11_k46_k10.6391_b0.1822.txt
12,2025-09-10T00:58:35,108,1.405589,0.786059,0.4431481481481482,0.1033453846534445,0.16121899099954848,0.4431481481481481,0.08974647464746474,0.14926397205588823,sweeps/runs/run_trial12_k108_k11.4056_b0.7861.txt
13,2025-09-10T00:58:54,137,1.304342,0.927148,0.3934306569343066,0.11630396093031627,0.17197638294833306,0.39343065693430657,0.10107260726072607,0.16082831055678223,sweeps/runs/run_trial13_k137_k11.3043_b0.9271.txt
14,2025-09-10T00:59:16,116,0.6182,0.349202,0.4489655172413793,0.11154385606692309,0.171886591833893,0.4489655172413793,0.09765976597659766,0.16042385411532772,sweeps/runs/run_trial14_k116_k10.6182_b0.3492.txt
15,2025-09-10T00:59:39,180,1.42778,0.832451,0.3856666666666666,0.14608726140150838,0.20207668709884508,0.38566666666666666,0.1301755175517552,0.194650067294751,sweeps/runs/run_trial15_k180_k11.4278_b0.8325.txt
16,2025-09-10T01:00:02,167,0.788433,0.159122,0.41125748502994014,0.1449556614405166,0.204531384799107,0.41125748502994014,0.12878787878787878,0.19615011138401783,sweeps/runs/run_trial16_k167_k10.7884_b0.1591.txt
17,2025-09-10T01:00:24,189,0.841847,0.34598,0.39735449735449735,0.15803478770229035,0.21527017008851027,0.39735449735449735,0.14082658265826584,0.20795259456166582,sweeps/runs/run_trial17_k189_k10.8418_b0.346.txt
18,2025-09-10T01:00:43,40,1.782977,0.836511,0.512,0.045919948967760756,0.08251775127300764,0.512,0.03840384038403841,0.07144850683784537,sweeps/runs/run_trial18_k40_k11.783_b0.8365.txt
19,2025-09-10T01:01:05,117,0.91696,0.640332,0.44717948717948713,0.11301626429609798,0.17317909011467467,0.4471794871794872,0.09810981098109811,0.16091529802546597,sweeps/runs/run_trial19_k117_k10.917_b0.6403.txt
20,2025-09-10T01:01:25,113,0.743981,0.40198,0.45504424778761066,0.11039155344173215,0.17094875306566923,0.4550442477876106,0.09642214221422142,0.15912607538528192,sweeps/runs/run_trial20_k113_k10.744_b0.402.txt
21,2025-09-10T01:01:45,149,0.813545,0.502728,0.4213422818791946,0.13401762780941215,0.19447757138905192,0.42134228187919465,0.11772427242724272,0.18403001700181743,sweeps/runs/run_trial21_k149_k10.8135_b0.5027.txt
