trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
1#.      1,2025-09-10T09:08:42,20,0.815006,0.110012,0.634,0.028894346430855054,0.0545037252355618,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial1_k20_k10.815_b0.11.txt
2,2025-09-10T09:09:05,20,0.883723,0.040998,0.625,0.028542279913259295,0.05382626150536611,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial2_k20_k10.8837_b0.041.txt
3,2025-09-10T09:09:28,20,1.154296,0.012713,0.616,0.027907429627024857,0.052646451196258666,0.616,0.0231023102310231,0.04453441295546559,sweeps/runsk20/run_trial3_k20_k11.1543_b0.0127.txt
4,2025-09-10T09:09:49,20,0.931183,0.202142,0.627,0.02839676155184665,0.05358298317342534,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial4_k20_k10.9312_b0.2021.txt
5,2025-09-10T09:10:11,20,1.136747,0.286408,0.62,0.027910764909585287,0.052693733743604074,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial5_k20_k11.1367_b0.2864.txt
6,2025-09-10T09:10:32,20,0.932264,0.235706,0.626,0.028351614228686327,0.05349834800415723,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial6_k20_k10.9323_b0.2357.txt
7,2025-09-10T09:10:53,20,1.255284,0.063864,0.615,0.027948694864372677,0.052719612324961515,0.615,0.023064806480648063,0.044462116830537884,sweeps/runsk20/run_trial7_k20_k11.2553_b0.0639.txt
8,2025-09-10T09:11:15,20,1.00415,0.062192,0.626,0.028454933559190952,0.0536780906210357,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial8_k20_k11.0042_b0.0622.txt
9,2025-09-10T09:11:36,20,0.861326,0.151971,0.631,0.028636270080071868,0.054030796527911325,0.631,0.023664866486648665,0.04561885482938115,sweeps/runsk20/run_trial9_k20_k10.8613_b0.152.txt
10,2025-09-10T09:11:58,20,1.308497,0.24149,0.609,0.02737194236840238,0.051687370558722315,0.609,0.02283978397839784,0.044028340080971666,sweeps/runsk20/run_trial10_k20_k11.3085_b0.2415.txt
11,2025-09-10T09:12:20,20,1.237839,0.214491,0.61,0.027386232982174477,0.051714962316802254,0.61,0.02287728772877288,0.044100636205899366,sweeps/runsk20/run_trial11_k20_k11.2378_b0.2145.txt
12/     12,2025-09-10T09:12:41,20,0.84728,0.117271,0.634,0.028898561041118764,0.054512887260207046,0.634,0.02377737773777378,0.04583574320416426,sweeps/runsk20/run_trial12_k20_k10.8473_b0.1173.txt
13,2025-09-10T09:13:03,20,1.146411,0.281829,0.62,0.027910764909585287,0.052693733743604074,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial13_k20_k11.1464_b0.2818.txt
14,2025-09-10T09:13:25,20,1.196758,0.309227,0.621,0.027981054273323234,0.05283298470957383,0.621,0.02328982898289829,0.0448958935801041,sweeps/runsk20/run_trial14_k20_k11.1968_b0.3092.txt
15,2025-09-10T09:13:46,20,1.313191,0.346593,0.621,0.0278300159585842,0.05256717350566063,0.621,0.02328982898289829,0.0448958935801041,sweeps/runsk20/run_trial15_k20_k11.3132_b0.3466.txt
16,2025-09-10T09:14:08,20,0.966784,0.254274,0.623,0.027895684154952503,0.05267888536085939,0.623,0.023364836483648364,0.045040485829959516,sweeps/runsk20/run_trial16_k20_k10.9668_b0.2543.txt
17,2025-09-10T09:14:29,20,0.897592,0.142108,0.628,0.028487617262802703,0.05375266752032952,0.628,0.023552355235523553,0.045401966454598035,sweeps/runsk20/run_trial17_k20_k10.8976_b0.1421.txt
18,2025-09-10T09:14:50,20,1.221092,0.273419,0.616,0.027767538195462512,0.052425815818649996,0.616,0.0231023102310231,0.04453441295546559,sweeps/runsk20/run_trial18_k20_k11.2211_b0.2734.txt
19,2025-09-10T09:15:12,20,1.165479,0.068455,0.619,0.028122229067563738,0.05305175467289936,0.619,0.023214821482148214,0.04475130133024869,sweeps/runsk20/run_trial19_k20_k11.1655_b0.0685.txt
20,2025-09-10T09:15:32,20,0.898041,0.151782,0.629,0.028493739434067147,0.05376647286084404,0.629,0.02358985898589859,0.045474262579525734,sweeps/runsk20/run_trial20_k20_k10.898_b0.1518.txt
21,2025-09-10T09:15:54,20,1.210769,0.337141,0.622,0.027921724651516832,0.052733298284740986,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial21_k20_k11.2108_b0.3371.txt
22,2025-09-10T09:16:15,20,0.937429,0.01284,0.617,0.028215685337341583,0.05320577965255571,0.617,0.02313981398139814,0.0446067090803933,sweeps/runsk20/run_trial22_k20_k10.9374_b0.0128.txt
23,2025-09-10T09:16:40,20,1.040699,0.026475,0.62,0.02818842283263433,0.05317253353883599,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial23_k20_k11.0407_b0.0265.txt
24,2025-09-10T09:17:01,20,0.927576,0.199693,0.627,0.02839676155184665,0.05358298317342534,0.627,0.023514851485148515,0.04532967032967033,sweeps/runsk20/run_trial24_k20_k10.9276_b0.1997.txt
25       25,2025-09-10T09:17:22,20,0.885723,0.055852,0.631,0.028821205387639198,0.054356154409003966,0.631,0.023664866486648665,0.04561885482938115,sweeps/runsk20/run_trial25_k20_k10.8857_b0.0559.txt
26,2025-09-10T09:17:43,20,1.248208,0.171374,0.621,0.027959693646164976,0.05278259830734076,0.621,0.02328982898289829,0.0448958935801041,sweeps/runsk20/run_trial26_k20_k11.2482_b0.1714.txt
27,2025-09-10T09:18:04,20,1.017198,0.39893,0.626,0.028022378208957477,0.052919382436961905,0.626,0.023477347734773477,0.04525737420474262,sweeps/runsk20/run_trial27_k20_k11.0172_b0.3989.txt
