trial,ts,k,k1,b,macro_p,macro_r,macro_f1,micro_p,micro_r,micro_f1,run_path
1,2025-09-10T02:20:41,20,1.025011,0.423763,0.625,0.02794303975405955,0.05277599034531897,0.625,0.02343984398439844,0.04518507807981492,sweeps/runsk20/run_trial1_k20_k11.025_b0.4238.txt
2,2025-09-10T02:21:03,20,1.139538,0.346123,0.622,0.027857798169172485,0.052611463321452175,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial2_k20_k11.1395_b0.3461.txt
3,2025-09-10T02:21:23,20,1.590493,0.314302,0.606,0.027084452096065522,0.051162796915618924,0.606,0.022727272727272728,0.04381145170618855,sweeps/runsk20/run_trial3_k20_k11.5905_b0.3143.txt
4,2025-09-10T02:21:44,20,1.218638,0.52741,0.615,0.02768157402152815,0.05225768708066161,0.615,0.023064806480648063,0.044462116830537884,sweeps/runsk20/run_trial4_k20_k11.2186_b0.5274.txt
5,2025-09-10T02:22:07,20,1.561245,0.622209,0.603,0.027120958799292206,0.051196852482089585,0.603,0.022614761476147615,0.04359456333140544,sweeps/runsk20/run_trial5_k20_k11.5612_b0.6222.txt
6,2025-09-10T02:22:29,20,1.220441,0.56517,0.61,0.027556206191728702,0.05200861554826616,0.61,0.02287728772877288,0.044100636205899366,sweeps/runsk20/run_trial6_k20_k11.2204_b0.5652.txt
7,2025-09-10T02:22:48,20,1.758807,0.371847,0.608,0.02711985227151476,0.05123547543879343,0.608,0.022802280228022803,0.04395604395604396,sweeps/runsk20/run_trial7_k20_k11.7588_b0.3718.txt
8,2025-09-10T02:23:10,20,1.340251,0.369966,0.62,0.027790103237927296,0.05249459228899734,0.62,0.02325232523252325,0.0448235974551764,sweeps/runsk20/run_trial8_k20_k11.3403_b0.37.txt
9,2025-09-10T02:23:30,20,1.10221,0.470967,0.619,0.02765127248691591,0.0522322801160179,0.619,0.023214821482148214,0.04475130133024869,sweeps/runsk20/run_trial9_k20_k11.1022_b0.471.txt
10,2025-09-10T02:23:52,20,1.847494,0.571677,0.598,0.026693597106427353,0.05042095408708975,0.598,0.022427242724272427,0.043233082706766915,sweeps/runsk20/run_trial10_k20_k11.8475_b0.5717.txt
11,2025-09-10T02:24:14,20,1.729732,0.541303,0.601,0.026875549079047434,0.050763530908251156,0.601,0.02253975397539754,0.04344997108155003,sweeps/runsk20/run_trial11_k20_k11.7297_b0.5413.txt
12,2025-09-10T02:24:35,20,1.0788,0.43193,0.622,0.027822781111855387,0.05255140972306612,0.622,0.023327332733273327,0.0449681897050318,sweeps/runsk20/run_trial12_k20_k11.0788_b0.4319.txt
13,2025-09-10T02:24:57,20,1.577352,0.617057,0.603,0.027090411599192465,0.05114450415202802,0.603,0.022614761476147615,0.04359456333140544,sweeps/runsk20/run_trial13_k20_k11.5774_b0.6171.txt
14,2025-09-10T02:25:20,20,1.661263,0.647881,0.6,0.027098551762901883,0.05114253038495061,0.6,0.022502250225022502,0.04337767495662233,sweeps/runsk20/run_trial14_k20_k11.6613_b0.6479.txt
15,2025-09-10T02:25:40,20,1.855318,0.689918,0.589,0.026582331795920403,0.05017644383276438,0.589,0.022089708970897088,0.04258241758241758,sweeps/runsk20/run_trial15_k20_k11.8553_b0.6899.txt
16,2025-09-10T02:26:03,20,1.277974,0.586058,0.607,0.027330743809594132,0.05159276518905745,0.607,0.022764776477647766,0.04388374783111626,sweeps/runsk20/run_trial16_k20_k11.278_b0.5861.txt
17,2025-09-10T02:26:27,20,1.162654,0.459872,0.615,0.027528420881051466,0.051994833974900304,0.615,0.023064806480648063,0.044462116830537884,sweeps/runsk20/run_trial17_k20_k11.1627_b0.4599.txt
